,phi,b,mark,ssn_delay,lu_mark,lu_delay,phi_c,b_c
2006-08-01,0.6294311000616027,0.3931060291377204,-12.0,40.14411221484673,-12.0,40.14411221484673,0.6255583644521654,0.3934289307879201
2006-09-01,0.616102561361915,0.3924374687321636,-12.0,38.615279788350406,-12.0,38.615279788350406,0.618266684154831,0.39547041001453753
2006-10-01,0.6062559132006818,0.3928548253515996,-12.0,37.143213697400434,-12.0,37.143213697400434,0.6112457477031146,0.3974360880658394
2006-11-01,0.6017383018255967,0.3990622441808364,-12.0,35.77762192382678,-12.0,35.77762192382678,0.6047326345214502,0.39925958892144287
2006-12-01,0.5994676346344353,0.40103193034324897,-12.0,34.48204961813114,-12.0,34.48204961813114,0.5985534752548831,0.4009895914402408
2007-01-01,0.5916650577276229,0.3944395978872411,-12.0,33.18308790495784,-12.0,33.18308790495784,0.5923581503999256,0.40272411989977386
2007-02-01,0.5874742265834726,0.3967109904028274,-12.0,31.85654669794936,-12.0,31.85654669794936,0.5860312866998186,0.40449547578575945
2007-03-01,0.5790484255989381,0.3977000894777786,-12.0,30.536100434284364,-12.0,30.536100434284364,0.5797334924892914,0.40625869297713896
2007-04-01,0.5590547547379969,0.3989209162513759,-12.0,29.197539060550984,-12.0,29.197539060550984,0.5733492992798415,0.4080460996220201
2007-05-01,0.5515673941959822,0.40569959618186496,-12.0,27.82647631408261,-12.0,27.82647631408261,0.5668100926005692,0.4098769059725362
2007-06-01,0.5492734507251538,0.410070250081253,-12.0,26.47651874407309,-12.0,26.47651874407309,0.560371545873748,0.41167953017661935
2007-07-01,0.5404984343884411,0.4113277032473089,-12.0,25.191019817302212,-12.0,25.191019817302212,0.554240431021572,0.4133960815195654
2007-08-01,0.5420309966291673,0.4185208249615796,-12.0,23.94205061648353,-12.0,23.94205061648353,0.5482835426433879,0.4150638540196554
2007-09-01,0.5363503050059387,0.41989644502309537,-12.0,22.733544651326,-12.0,22.733544651326,0.5425196413925848,0.4166775951860215
2007-10-01,0.5286816933003007,0.4193153579665177,-12.0,21.53733839165443,-12.0,21.53733839165443,0.5368144028955282,0.41827491232002934
2007-11-01,0.5186495587676802,0.4157037973812597,-12.0,20.317281485549465,-12.0,20.317281485549465,0.530995410081345,0.4199040776791214
2007-12-01,0.5192982597938468,0.417341941495817,-12.0,19.076688464034927,-12.0,19.076688464034927,0.5250784714193889,0.42156066530652586
2008-01-01,0.5256049089663832,0.4214751936456577,-12.0,17.843478260870107,-12.0,17.843478260870107,0.519196744694442,0.4232073945151569
2008-02-01,0.5267262990094123,0.4241187070046271,-12.0,16.65442020665952,-12.0,16.65442020665952,0.5135255991614132,0.42479516651347604
2008-03-01,0.5346242440482409,0.42519398401699776,-12.0,15.523476264164605,-12.0,15.523476264164605,0.5081316256166614,0.42630533762514156
2008-04-01,0.5374129807759725,0.4299460714700637,-12.0,14.426715918734525,-12.0,14.426715918734526,0.5029006888160875,0.42776986272479856
2008-05-01,0.5366621535280622,0.4318602698294675,-12.0,13.351559926122306,-12.0,13.351559926122306,0.49777279276154207,0.42920553911826786
2008-06-01,0.5358915099809609,0.4337391061895019,-12.0,12.308026755853215,-12.0,12.308026755853215,0.4927957199801227,0.4305989889512707
2008-07-01,0.5318092362380606,0.4354445057094443,-12.0,11.280532121999045,-12.0,11.280532121999045,0.4878951420963442,0.4319710222193519
2008-08-01,0.5180959863845733,0.4341726900865903,-12.0,10.283392402536132,-12.0,10.283392402536132,0.48313934027000527,0.4333025219887438
2008-09-01,0.5087136220668922,0.4309236530643213,-12.0,9.360804672291009,-12.0,9.360804672291009,0.47873910996444596,0.43453447105875664
2008-10-01,0.5018007809138281,0.4336111601413429,-12.0,8.54496580641967,-12.0,8.54496580641967,0.47484801236540636,0.43562387632520594
2008-11-01,0.4878300256649172,0.4293169932682439,-12.0,7.818224928867608,-12.0,7.818224928867608,0.47138186261199083,0.43659430734102134
2008-12-01,0.4943224288727395,0.4394064084280602,-12.0,7.141521489542475,-12.0,7.141521489542475,0.46815436360677043,0.43749792240701574
2009-01-01,0.4848227451371432,0.4437840034605503,-12.0,6.493430839115661,-12.0,6.493430839115661,0.46506333168940467,0.4383633302678651
2009-02-01,0.4678305403672282,0.44281669073597696,-12.0,5.8471172565269125,-12.0,5.8471172565269125,0.4619807753971743,0.43922636517598745
2009-03-01,0.4508374994496818,0.4325874011712135,-12.0,5.202525832376738,-12.0,5.202525832376738,0.45890643284278587,0.4400871004529557
2009-04-01,0.4438870772604399,0.4317895688635529,-12.0,4.652668097639039,-12.0,4.652668097639039,0.4562839172935099,0.4408213360196584
2009-05-01,0.4476150907588768,0.4447783179533277,-12.0,4.222997054859613,-12.0,4.222997054859613,0.45423462541385645,0.44139508399419836
2009-06-01,0.44636702271387296,0.4482122243106799,-12.0,3.816832226825858,-12.0,3.816832226825858,0.4522974451037611,0.44193744366988486
2009-07-01,0.4376841834209407,0.4447988119450193,-12.0,3.3977387310938023,-12.0,3.3977387310938023,0.45029860224001195,0.44249706724322063
2009-08-01,0.4360143696519877,0.4454654510331373,-12.0,3.009134927369935,-12.0,3.009134927369935,0.4484451782479683,0.44301597734673337
2009-09-01,0.4365914045017226,0.4447691775007139,-12.0,2.679968052713108,-12.0,2.679968052713108,0.44687523534718165,0.4434555201802423
2009-10-01,0.44134063451534894,0.451848290771357,-12.0,2.41645285279297,-12.0,2.41645285279297,0.4456184144176902,0.4438073970748002
2009-11-01,0.42900258221932536,0.4493112802485606,-12.0,2.289582189387588,-12.0,2.289582189387588,0.44501331192206683,0.44397680990207966
2009-12-01,0.4268590202144673,0.4650731969160597,-12.0,2.3356362002696294,-12.0,2.3356362002696294,0.4452329639375146,0.443915313099102
2010-01-01,0.4153975917178716,0.4141299902473286,-12.0,2.552628163530258,-12.0,2.552628163530258,0.4462678949055956,0.44362555957369126
2010-02-01,0.450063969999204,0.4428240845704893,-12.0,2.9504417710778146,-12.0,2.9504417710778146,0.44816524453914164,0.44309435144270254
2010-03-01,0.4567235444622401,0.4494139982232089,-12.0,3.5246443368443168,-12.0,3.5246443368443168,0.45090387139118565,0.44232760775675833
2010-04-01,0.4644492008372721,0.4460213366909792,-12.0,4.243942494883576,-12.0,4.243942494883576,0.4543345235123627,0.44136711514688703
2010-05-01,0.4721748572123041,0.4426286751587494,-12.0,5.115744022363263,-12.0,5.115744022363263,0.45849253187936084,0.44020298186632734
2010-06-01,0.479900513587336,0.4392360136265196,-12.0,6.237902460939642,-12.0,6.237902460939642,0.463844603457151,0.43870454220634625
2010-07-01,0.4876261699623681,0.4358433520942898,-12.0,7.658183996406167,-12.0,7.6581839964061675,0.47061855638315153,0.43680801306400713
2010-08-01,0.4953518263374001,0.43245069056206,-12.0,9.32222333150331,-12.0,9.32222333150331,0.47855509842885136,0.434585989462205
2010-09-01,0.503077482712432,0.4290580290298303,-12.0,11.196415913742669,-12.0,11.196415913742669,0.4874939545706223,0.4320833442036329
2010-10-01,0.510803139087464,0.4256653674976005,-12.0,13.246448360206065,-12.0,13.246448360206065,0.4972714690579561,0.42934589660583566
2010-11-01,0.5130497973519972,0.42259643291254817,-12.0,15.411855438526905,-12.0,15.411855438526905,0.5075992563648266,0.42645438705191197
2010-12-01,0.5192092631691222,0.4082028903884339,-12.0,17.685449009135468,-12.0,17.685449009135468,0.5184430330637195,0.4234184140023309
2011-01-01,0.5124278614708031,0.4038666553010189,-12.0,20.04031847451766,-12.0,20.04031847451766,0.5296744505728792,0.42027391169347356
2011-02-01,0.5268348879995993,0.4042350609708584,-12.0,22.43791743623091,-12.0,22.43791743623091,0.5411096640122615,0.4170723518696055
2011-03-01,0.5589355038433862,0.4128454205133416,-12.0,24.887405780463,-12.0,24.887405780463,0.5527923609440109,0.41380150315922626
2011-04-01,0.5866337824505272,0.4149512582559053,-12.0,27.42102031647865,-12.0,27.42102031647865,0.5648762930173538,0.41041831913337085
2011-05-01,0.5985694074404964,0.4088619743099427,-12.0,30.01885888284422,-12.0,30.01885888284422,0.5772665379923605,0.40694937552946314
2011-06-01,0.6394365759972674,0.4213661385585463,-12.0,32.675839864225026,-12.0,32.675839864225026,0.5899388593904136,0.40340145792580695
2011-07-01,0.6196878004678958,0.3970024466344787,-12.0,35.373683422354205,-12.0,35.373683422354205,0.60280607255071,0.399798975740623
