,0,1
0.0885,803.5648,58.822124604284596
0.1,889.8166,64.06186050891498
0.105,942.9258000000001,66.59478839980294
0.115,992.9055999999999,69.05837422830125
0.125,1038.216,70.93066780852392
0.14,1089.576,73.2030992574604
0.155,1162.9379999999999,77.22307266151392
0.165,1229.302,81.14743661720931
0.18,1292.0639999999999,84.46891478402455
0.2,1339.6960000000001,86.28478767645895
0.215,1369.732,86.99629364912509
0.23,1417.666,89.04769726129476
0.25,1471.8940000000002,91.61261386042645
0.275,1518.1539999999998,93.47408811977787
0.3,1532.4260000000002,93.25847417426472
0.325,1549.0099999999998,93.19475809933734
0.35,1545.054,91.89475437840402
0.375,1558.462,91.52360156687018
0.41,1568.1899999999998,91.13490359686568
0.445,1570.388,90.28830419623576
0.48,1524.8319999999999,86.46888746456729
0.52,1494.29,83.95102747346218
0.56,1478.9080000000001,82.41008081268079
0.6,1421.014,78.27698659157177
0.645,1376.8100000000002,74.86378753210097
0.695,1334.126,71.87921659890436
0.745,1270.372,67.5588162303568
0.8,1213.3359999999998,63.77919310925284
0.86,1164.682,60.57967929470423
0.925,1102.804,56.647145356204064
0.99,1043.858,53.066993712854995
1.055,988.8372,49.72609222926475
1.13,928.5202,46.08815254584653
1.21,864.7124,42.42808462155793
1.295,809.1236,39.27662167598532
1.38,757.0802,36.38520701462159
1.47,710.6659999999999,33.790244026046814
1.57,649.724,30.481922737234278
1.67,602.2342000000001,27.94774049034376
1.775,554.5326,25.429692285976248
1.89,509.37399999999997,23.14729112197253
2.01,468.79460000000006,21.087030485181646
2.135,427.9702,19.012447692421407
2.265,389.64720000000005,17.114251693275985
2.405,364.2616,15.875792436105986
2.55,332.4336,14.342889847204432
2.7,301.2368,12.84035110411191
2.86,274.4372,11.573357603838224
3.03,248.8756,10.404132762143322
3.21,226.1974,9.38678142549852
3.395,203.4986,8.387135945327941
3.59,184.7034,7.588210096665327
3.905,158.8724,6.465555323193382
4.355,129.19140000000002,5.205975644932047
4.85,104.13459999999999,4.158512746754315
5.395,83.76116,3.31496356494198
5.99,66.9949,2.6356039256653117
6.645,53.45342,2.080196871142585
7.365,42.49332,1.6440368406110615
8.155,33.505120000000005,1.2880669971033027
9.025,26.46444,1.0103634536814363
9.98,21.2672,0.8131538160732075
11.025,16.77544,0.6421955083033416
12.17,13.15044,0.5053900464266011
13.43,10.16788,0.3896853178249178
14.815,7.974606,0.3065540103462044
16.33,6.274655999999999,0.24194648486564543
17.99,4.846863999999999,0.18710010196072907
19.81,3.761684,0.14558769163222693
21.805,2.9048579999999995,0.11278138900745636
24.0,2.2966679999999995,0.08969920305737393
26.405,1.7509900000000003,0.06856689915008125
29.04,1.348806,0.053188631955719594
31.93,1.030332,0.04103266423311813
35.095,0.8145554,0.032537434075227994
38.57,0.6328447999999999,0.02559350350034516
42.38,0.49548420000000004,0.020251913145913798
46.555,0.34015959999999995,0.014131848618572305
