,0,1
0.0885,689.057,110.3883
0.1,742.276,125.7256
0.1075,799.684,169.1174
0.115,726.587,120.8951
0.125,805.038,122.1606
0.14,892.4,112.1341
0.155,983.084,144.979
0.165,1075.2,153.4536
0.18,1116.79,129.9351
0.19995,1166.17,133.694
0.215,1132.08,134.7715
0.23,1185.16,122.3322
0.25,1150.44,118.4419
0.275,1209.95,117.0816
0.3,1257.79,127.7105
0.325,1181.74,114.4873
0.35,1290.77,130.4738
0.375,1283.65,122.827
0.41,1217.97,113.2594
0.445,1193.95,115.0636
0.48,1268.15,117.5647
0.52,1244.21,115.8467
0.56,1250.53,116.2093
0.6,1128.57,105.9494
0.645,1107.97,101.8917
0.695,1112.25,102.6124
0.745,1051.75,97.53334
0.8,1006.31,91.98116999999999
0.86,1013.09,92.72561999999999
0.925,973.092,88.23328000000001
0.99,873.709,79.00831
1.055,815.09,73.03658
1.13,789.219,70.28175
1.21,751.552,67.17300999999999
1.295,707.289,63.037819999999996
1.38,655.857,59.23015
1.47,624.087,55.66823
1.57,578.763,52.016909999999996
1.67,543.169,48.95771
1.775,487.718,44.10477
1.89,453.034,40.871990000000004
2.01,439.098,39.74537
2.135,402.615,36.09868
2.265,353.229,31.99043
2.405,319.359,28.78143
2.55,310.258,28.213490000000004
2.7,287.345,26.01882
2.86,246.389,22.51972
3.03,235.377,21.41023
3.21,220.657,20.1804
3.395,192.966,17.729210000000002
3.59,182.521,16.79214
3.905,147.324,13.00779
4.355,125.498,11.1304
4.85,100.986,9.014917
5.395,84.292,7.592928
5.99,69.485,6.287433999999999
6.645,53.715,4.916197
7.365,43.036,3.98021
8.155,34.404,3.20708
9.025,26.179,2.432835
9.98,21.289,1.9907400000000002
11.025,16.798,1.587126
12.17,13.431,1.292441
13.43,11.109,1.078897
14.815,7.946,0.7900796999999999
16.33,6.551,0.6585363000000001
17.99,4.507,0.4688587
19.81,3.926,0.41434940000000003
21.805,3.171,0.33148099999999997
24.0,2.353,0.25392929999999997
26.405,1.783,0.19901359999999998
29.04,1.415,0.1622129
31.93,1.211,0.141315
35.095,0.848,0.1042701
38.57,0.686,0.08620238
42.38,0.458,0.06316011
46.555,0.374,0.053369
