,0,1
0.0885,251.284,47.19328
0.1,255.123,52.11618
0.1075,283.702,72.64274
0.115,284.595,54.68541
0.125,272.103,51.18466
0.14,350.379,48.96467
0.155,437.636,70.16003
0.165,433.501,68.92745
0.18,460.579,57.726380000000006
0.19995,474.836,59.155590000000004
0.215,493.336,62.51701
0.23,494.806,53.569590000000005
0.25,507.406,54.64696
0.275,537.207,53.405590000000004
0.3,589.098,61.71548000000001
0.325,620.238,60.42156
0.35,611.812,63.64677
0.375,616.329,60.17171
0.41,630.877,59.28248000000001
0.445,644.738,62.36708
0.48,649.124,60.82828000000001
0.52,621.894,58.4516
0.56,623.908,58.85625
0.6,624.279,58.71593000000001
0.645,643.411,59.423
0.695,654.522,60.30055
0.745,646.635,59.67878
0.8,614.404,56.058240000000005
0.86,596.699,54.7228
0.925,619.165,55.9095
0.99,539.757,48.644090000000006
1.055,503.515,45.08148
1.13,526.056,46.60647
1.21,489.228,43.58449
1.295,461.693,40.94935
1.38,456.475,40.91474
1.47,430.525,38.09722
1.57,404.465,35.92654
1.67,383.897,34.21905
1.775,356.777,31.73242
1.89,332.797,29.55777
2.01,312.207,27.92075
2.135,307.111,27.17003
2.265,279.634,24.84238
2.405,266.992,23.60914
2.55,249.91,22.24566
2.7,220.427,19.61875
2.86,203.716,18.21226
3.03,200.788,17.8689
3.21,178.048,15.97926
3.395,165.508,14.83375
3.59,148.087,13.317260000000001
3.905,128.683,11.16807
4.355,110.037,9.569856
4.85,89.127,7.782941
5.395,74.601,6.556017
5.99,60.854,5.378933999999999
6.645,48.361,4.302217
7.365,38.091,3.421266
8.155,30.564,2.758391
9.025,25.621,2.2954380000000003
9.98,20.522,1.856377
11.025,16.02,1.470672
12.17,13.266,1.2215120000000002
13.43,10.26,0.9525584999999999
14.815,7.487,0.7071493000000001
16.33,6.213,0.5941346
17.99,4.801,0.465649
19.81,3.956,0.3891018
21.805,2.895,0.2859477
24.0,2.163,0.2205136
26.405,1.795,0.1863392
29.04,1.435,0.1500683
31.93,1.016,0.1115394
35.095,0.747,0.08557669
38.57,0.668,0.07654711
42.38,0.477,0.05750626
46.555,0.373,0.04631134
