,0
2011-06,0.6319778167810309
2011-07,0.6283303939411599
2011-08,0.6267335343100237
2011-09,0.626239527824002
2011-10,0.6565139641515796
2011-11,0.623901718949531
2011-12,0.6038965104184473
2012-01,0.6181364564868996
2012-02,0.637659740217524
2012-03,0.7211877172648811
2012-04,0.6645521467908128
2012-05,0.6406889339169525
2012-06,0.6838280245759344
2012-07,0.7287246162458592
2012-08,0.7718533491743458
2012-09,0.7413671513630894
2012-10,0.7506681402668576
2012-11,0.7494534632028528
2012-12,0.7336774476772291
2013-01,0.702540497599515
2013-02,0.6939601924711906
2013-03,0.7110555369638113
2013-04,0.7321476244959533
2013-05,0.7903596174839872
2013-06,0.8261686310793329
2013-07,0.8180244779886977
2013-08,0.8127927043865314
2013-09,0.828622465471889
2013-10,0.8118649765605802
2013-11,0.8199870784542238
2013-12,0.8302927202102479
2014-01,0.8271909583212134
2014-02,0.8634852196492104
2014-03,0.8557993068664945
2014-04,0.8451726349515508
2014-05,0.8063720552671934
2014-06,0.8234971574551733
2014-07,0.8177193814880261
2014-08,0.7680434851930692
2014-09,0.7608794318058947
2014-12,0.7808880805613108
2015-01,0.7811164946667534
2015-02,0.7865277678258848
2015-03,0.8267552578245584
2015-04,0.8427316162912818
2015-05,0.787803372858521
2015-06,0.7727725471891287
2015-07,0.7415732617909808
2015-08,0.7198759815820389
2015-09,0.7179733239783358
2015-10,0.7077169149857355
2015-11,0.6868551576536468
2015-12,0.656931896671905
2016-01,0.6269541032278576
2016-02,0.604145333884235
2016-03,0.5975907200454389
2016-04,0.5944604603303989
2016-05,0.5803555719563338
2016-06,0.5675220967105052
2016-07,0.5711672632456675
2016-08,0.5621689239613119
2016-09,0.5473226399050327
2016-10,0.5294107711511263
2016-11,0.5097422549907666
2016-12,0.5018647910100782
2017-01,0.4945291309265089
2017-02,0.48706199706220976
2017-03,0.48677823636724926
