,phi_0,b
2011-06,0.003371030670956467,0.005493398503226193
2011-07,0.0037531903803443307,0.006134704681271271
2011-08,0.0037084976106077487,0.006094551909170284
2011-09,0.00396600041318966,0.006492279497872754
2011-10,0.0035246816702008267,0.005517178769501207
2011-11,0.0033376036591137442,0.005517499596491832
2011-12,0.0031458448337695647,0.005384619622722541
2012-01,0.0032077884623360206,0.005348066956707826
2012-02,0.003495465679239766,0.005634445874203659
2012-03,0.0037747759658297115,0.005357342733342624
2012-04,0.0043181173442106615,0.006646727140029455
2012-05,0.003793028963460787,0.006086777807622399
2012-06,0.003618016895953202,0.005398079785471337
2012-07,0.003434448494498938,0.00475232524316191
2012-08,0.0033930190335008776,0.004431870812498825
2012-09,0.0035904252273146592,0.004897733694511311
2012-10,0.0037225402508714576,0.005038816441091503
2012-11,0.004225371037529425,0.005722285303738388
2012-12,0.0039479137795000695,0.00549798227256444
2013-01,0.0038714972418221263,0.005663488440180899
2013-02,0.003602565998055726,0.005331879450647588
2013-03,0.0034650404483218683,0.004961855177967799
2013-04,0.0033687669962546352,0.004679891100082028
2013-05,0.003481249276698516,0.004446688263958618
2013-06,0.0038561347946120335,0.0046912399392406694
2013-07,0.0041231680282727305,0.005067498608718414
2013-08,0.0046314260276166825,0.00574065170583804
2013-09,0.004137071952255453,0.005027344924660385
2013-10,0.003785461402619864,0.004728244274126255
2013-11,0.003583505182374087,0.0044265111990616016
2013-12,0.0035898144382713274,0.004379298139522483
2014-01,0.0038591025466022757,0.004717480100958459
2014-02,0.004145478831119249,0.00481775566052543
2014-03,0.004482470481640623,0.005265028211046548
2014-04,0.004391773340654381,0.005230491039782187
2014-05,0.0041700321182194305,0.005253881809320275
2014-06,0.003749584819020859,0.004592600484114915
2014-07,0.003571830016898922,0.0044270610587827
2014-08,0.003485587936346251,0.004612589226022772
2014-09,0.003626469182611425,0.0048497903926097855
2014-12,0.0042499046147997975,0.005509037010296425
2015-01,0.0037510870392425113,0.004855654217792888
2015-02,0.003756994274525647,0.004808234128075596
2015-03,0.0035340720519703526,0.004272539553746786
2015-04,0.0035591570134907973,0.004228003691847286
2015-05,0.003699704992371149,0.0047335695095100366
2015-06,0.0037721423298215833,0.0049362547887865415
2015-07,0.0042694145180234774,0.005852678204794607
2015-08,0.004138709549771481,0.005887664788406658
2015-09,0.003886044063941162,0.00554009768257598
2015-10,0.003409500523161581,0.004934418899617274
2015-11,0.003274672929215167,0.004890000447163049
2015-12,0.0032982287322062347,0.005161635514923305
2016-01,0.0034257020869269145,0.005642203819445344
2016-02,0.0038773576387037354,0.006662640645424951
2016-03,0.0036913155669945664,0.006426719201562529
2016-04,0.003851691332158416,0.006750259458190192
2016-05,0.0033953086955203697,0.006109858725258301
2016-06,0.0032309296623541533,0.005943147737334591
2016-07,0.003080375780709653,0.005627984400755952
2016-08,0.003123718896190702,0.005797804608338672
2016-09,0.003384995183342971,0.006457590521179403
2016-10,0.0035919329977390966,0.007095367610127709
2016-11,0.003930926550595767,0.008103413088685386
2016-12,0.0034514180271003705,0.007237600067103833
2017-01,0.0031499420217601325,0.006714897073569734
2017-02,0.002970174277042222,0.006427923967301693
2017-03,0.002941976236582503,0.006358798911929911
