,phi_0,b
2006-08,0.003713266344143007,0.00463389799326176
2006-09,0.0034303146087640013,0.0044503246154174924
2006-10,0.003353033050452313,0.0043333118791942125
2006-11,0.0034078718062272727,0.0045114612579123395
2006-12,0.004717550658057532,0.006312714615571228
2007-01,0.004965182585710448,0.00661495880321768
2007-02,0.004599425623646272,0.006133338289265094
2007-03,0.004287081771958258,0.00571765074848001
2007-04,0.004018294653215294,0.0055264911679555485
2007-05,0.003735035611899609,0.00523393210853378
2007-06,0.0039889630912232155,0.005598500703639436
2007-07,0.0034289708423270275,0.004918438488754644
2007-08,0.00356178165859716,0.005172956540428121
2007-09,0.003933551002209538,0.005668244970975322
2007-10,0.004015823650085271,0.0058711829756952555
2007-11,0.004468051244708264,0.006597334687289017
2007-12,0.0042098498871241926,0.006252385196878607
2008-01,0.0037431095359731588,0.005497564255901003
2008-02,0.0035340738984043774,0.00522759830756349
2008-03,0.0035067241063543742,0.005116985002859322
2008-04,0.003653868127888252,0.00525681638562198
2008-05,0.003796582515128306,0.005420843605015677
2008-06,0.004164199042591576,0.006086778213552094
2008-07,0.00451894190141709,0.006702315658355766
2008-08,0.004772971025228555,0.0073059418797346036
2008-09,0.005169368745717632,0.008092372628385755
2008-10,0.0037586773647058087,0.005853693308534713
2008-11,0.003611414592786687,0.0056603441585076205
2008-12,0.0035825539955895696,0.005569648735171526
2009-01,0.0037527162042848296,0.005960793339150111
2009-02,0.0039509229005388995,0.007013658362907876
2009-03,0.004147330523464694,0.007147693772007529
2009-04,0.004583162660807237,0.00780004149186919
2009-05,0.004401356418953912,0.007462078484124688
2009-06,0.006613932730693436,0.010870662904666196
2009-07,0.005995624502855008,0.009816377821500057
2009-08,0.005766485724333746,0.009500242236164793
2009-09,0.007243098012072374,0.011932003872874263
2009-10,0.008240204764182281,0.013302726751803561
2009-11,0.009153052748589194,0.015525640853257179
2009-12,0.009636124039917383,0.016393431469083113
2010-01,0.006298611982714491,0.01124084916887655
2010-02,0.006417609658217232,0.010900274579339515
2010-03,0.006731354058841742,0.010835680151156
2010-10,0.007006779233640636,0.010295418766494181
2010-11,0.005809289047302356,0.008550853004850796
2010-12,0.005519436219210663,0.00808852535378523
2011-01,0.0051511559532874404,0.007529167919807378
2011-02,0.005008099579421084,0.007133516764829507
2011-03,0.005080331301712933,0.006949591571684972
2011-04,0.00520043260308491,0.006780868837260424
2011-05,0.006226191894747,0.008850298025303602
2011-06,0.006538351964572555,0.008220777067450651
2011-07,0.007126083291079113,0.009309762017675676
2011-08,0.007856752355820663,0.010532517424925805
2011-09,0.007856752355820663,0.010532517424925805
2011-10,0.007544710451974729,0.009529494643345371
2011-11,0.005342153922530118,0.006803830161803468
2011-12,0.005478721776543917,0.007075168445699985
2012-01,0.005921234786233249,0.007874190786574451
2012-02,0.006120055153553601,0.007628104950078547
2012-03,0.007459173539100792,0.009232705230919758
2012-04,0.008350310218024116,0.010884058195451874
2012-05,0.007761528586845945,0.009267330908428332
2012-06,0.007761528586845945,0.009267330908428332
2012-08,0.008176414434741127,0.008839321404311899
2012-09,0.006049756309806207,0.006562546692705585
2012-10,0.006598168618490182,0.006980057701612127
2012-11,0.007201278079350548,0.007871245245693315
2012-12,0.006619362003526534,0.007188200427752306
2013-01,0.006544892428807819,0.007199694352911637
2013-02,0.006414187184174809,0.007176348628583223
2013-03,0.008212687786162786,0.00988734362803888
2013-06,0.008608026120600017,0.008911727230733843
2013-07,0.0068185162043120145,0.007206550253875024
2013-08,0.008004461385131443,0.008229030483185134
2013-09,0.00803199997017324,0.008032504144699576
2013-10,0.00895070749717484,0.009361371221964863
2013-11,0.008782955168826982,0.008918467886503047
2013-12,0.008782955168826982,0.008918467886503047
2014-01,0.008612570516139147,0.008505178096503432
