,phi_0,b
2006-08,0.6364638300104019,0.38548263838525854
2006-09,0.6229880006369366,0.38480414350717473
2006-10,0.6130322207281688,0.38523117497785647
2006-11,0.6084633067478954,0.39142982713034324
2006-12,0.6061679893923715,0.3933967873550056
2007-01,0.5982809972109762,0.38680854750698335
2007-02,0.5940440205498753,0.38909125358047314
2007-03,0.5855229567243195,0.3900807525589353
2007-04,0.5653082804501647,0.3913022061193066
2007-05,0.5577395592513626,0.3980822877294529
2007-06,0.5554212748024817,0.4024594848075016
2007-07,0.5465473807698461,0.4037118519867263
2007-08,0.5480938116888789,0.41089708083450727
2007-09,0.5423514481553018,0.41228579629231726
2007-10,0.5345984831255849,0.41170233320348465
2007-11,0.524460501205844,0.40810158359739085
2007-12,0.5251120677880635,0.40973184175416005
2008-01,0.5314897079020389,0.41386445343733247
2008-02,0.532623556278495,0.41650454829907424
2008-03,0.5406083900463216,0.41757692849344485
2008-04,0.5434286989597146,0.4223337762267728
2008-05,0.5426684020566523,0.42425073821629505
2008-06,0.5418866334818822,0.4261093417354102
2008-07,0.5377585550882147,0.427810610823723
2008-08,0.5238904542242057,0.42653196035015745
2008-09,0.5144054202273424,0.42328806876188074
2008-10,0.5074165420912413,0.42597913073531013
2008-11,0.4932963582424316,0.42170558647363954
2008-12,0.4998595694283936,0.4317886707208711
2009-01,0.49025383388902033,0.4361693265128812
2009-02,0.47305863599724984,0.43514022528244634
2009-03,0.455889337846133,0.4249671642672972
2009-04,0.4488677105657518,0.42419176522369595
2009-05,0.45263419530843724,0.43717360558498336
2009-06,0.45137508966144113,0.4405952390614089
2009-07,0.44260080128472107,0.43721147317610076
2009-08,0.4409120080420028,0.43787648428851084
2009-09,0.4414961843402155,0.437168164915614
2009-10,0.4462994490414403,0.44425243094999983
2009-11,0.43381843877201054,0.44168620353672566
2009-12,0.4316510550940578,0.45745887357671566
2010-01,0.42006542729314733,0.4064572789872083
2010-02,0.45511133090933764,0.4351383921105516
2010-03,0.4618529249624589,0.4417834528583334
2010-10,0.5165340922330846,0.4180239009210947
2010-11,0.5188041423906179,0.41494367818627614
2010-12,0.5250296027126794,0.40053282962135
2011-01,0.5181757333065352,0.396230274189676
2011-02,0.5327420443971631,0.39659038197261787
2011-03,0.5651975274590034,0.40517170820715487
2011-04,0.5932050408608334,0.40728218203549915
2011-05,0.6052451205701287,0.401090486549344
2011-06,0.646580961376566,0.41366730857264544
2011-07,0.6266147127425468,0.38930208802620264
2011-08,0.6364688539102014,0.3929891081783277
2011-09,0.6364688539102014,0.3929891081783277
2011-10,0.6376029709399358,0.37309746827023943
2011-11,0.633063161914907,0.3628962244784792
2011-12,0.616880425031991,0.3533491459185828
2012-01,0.6152078380548904,0.36742281232445007
2012-02,0.6334641683313854,0.37721859656070494
2012-03,0.6375948230897018,0.3781548625632907
2012-04,0.6990563781789845,0.3648957191860388
2012-05,0.6909111560172512,0.36664366568848383
2012-06,0.6909111560172512,0.36664366568848383
2012-08,0.7955998163117233,0.36093556462333615
2012-09,0.7739956729848942,0.35581528220588987
2012-10,0.7862588649704693,0.3564706204798199
2012-11,0.790528532941733,0.33841337791284276
2012-12,0.7684693089528631,0.32954420929079664
2013-01,0.7492904411858735,0.32193806317823137
2013-02,0.7340083740981783,0.327799841352416
2013-03,0.7226791653013146,0.3212376824169338
2013-06,0.8774119606669991,0.3410688476999862
2013-07,0.852550266996236,0.32269795178728256
2013-08,0.8719169590752319,0.3255305003763463
2013-09,0.8900632171817822,0.3101578164020519
2013-10,0.8773555268871426,0.3123305057659312
2013-11,0.8967619793750541,0.29777128368929534
2013-12,0.8967619793750541,0.29777128368929534
2014-01,0.9050065703952496,0.2739188736485302
