,phi_0,b
2011-06,0.669571499700143,0.4154557519910794
2011-07,0.672279482608891,0.4003935368614878
2011-08,0.6757348837099032,0.3871400918023265
2011-09,0.677068135500842,0.3843055153787637
2011-10,0.7071605371058238,0.388644463022405
2011-11,0.6750963244305017,0.3796594675265721
2011-12,0.6586622283888268,0.36709404006049934
2012-01,0.6685632586830211,0.38195302506309936
2012-02,0.6857709522936686,0.39181897775611396
2012-03,0.7671050145363295,0.4096423676065708
2012-04,0.7285264201199378,0.35996508248988096
2012-05,0.7028149457376923,0.356743016262584
2012-06,0.7426716733529988,0.37583898285782963
2012-07,0.7859619451300652,0.39002077823141174
2012-08,0.8393756988875691,0.3752314359749194
2012-09,0.8215563445954198,0.34042993001081745
2012-10,0.8328859355772893,0.3353661883961047
2012-11,0.8332975448167275,0.3319111977152626
2012-12,0.8214724758927339,0.31555361416642824
2013-01,0.7886028210454054,0.309280445940203
2013-02,0.77537470576379,0.3194707191305584
2013-03,0.7880303743853914,0.3378203845674349
2013-04,0.8094153166518614,0.34137504507113325
2013-05,0.8641463475837102,0.36429116355314256
2013-06,0.9125202300101389,0.3467324921477432
2013-07,0.9138847946972608,0.3239848188331387
2013-08,0.9136929707337561,0.3118403659746437
2013-09,0.9421641989652734,0.2875020603274183
2013-10,0.9303289397589294,0.2669963539096456
2013-11,0.9376657520206588,0.27064020414218304
2013-12,0.9486966557115049,0.2706170418549863
2014-01,0.944821743890843,0.2706636124789467
2014-02,0.9704744887675266,0.30811697149928763
2014-03,0.9723507434587193,0.28591912412077414
2014-04,0.9584703083345587,0.2890653762119987
2014-05,0.9187923004959336,0.27583264318876516
2014-06,0.9315052288573555,0.2941464855109786
2014-07,0.9254971532098129,0.2911132942966942
2014-08,0.8682428303714476,0.29351259723903
2014-09,0.8505819965996151,0.3134649960224024
2014-12,0.8393716498721209,0.38734309793601246
2015-01,0.8522062147380446,0.3627380240058502
2015-02,0.8595315504638215,0.36240387376864264
2015-03,0.9032225191695529,0.36494817069431534
2015-04,0.9291823723040092,0.34750383026363857
2015-05,0.881586707664475,0.3170807027853266
2015-06,0.8538483325970646,0.33840765585257526
2015-07,0.8199167680383719,0.33767103533101095
2015-08,0.7955382869968189,0.33360674693831194
2015-09,0.7875136202950377,0.34890474637884494
2015-10,0.7734641993325492,0.35676725227980777
2015-11,0.747521198510782,0.364996380415301
2015-12,0.7130504156149201,0.36908046204956907
2016-01,0.6832494499961291,0.3613149322330057
2016-02,0.6608778817622107,0.35298366834983924
2016-03,0.6509492308567009,0.35930549352573005
2016-04,0.645912456121271,0.36306203845583734
2016-05,0.6303873321001905,0.36542673218331684
2016-06,0.6162290771115154,0.3664809635696271
2016-07,0.6185920928627243,0.37116134344551893
2016-08,0.609817563317224,0.3689371519142551
2016-09,0.5922019223683758,0.3733918667020606
2016-10,0.5704310097187401,0.38114755491441576
2016-11,0.5476081052107383,0.38604647633240735
2016-12,0.5378993639066372,0.3905909623080088
2017-01,0.5297270980376719,0.39178466212129853
2017-02,0.5206283579495524,0.3953116874731324
2017-03,0.5180206087002139,0.40354448896568135
