,0,1,2,jd
0,2000-08-01,0.271188,192.0,2451758.5
1,2002-08-01,0.271188,255.0,2452488.5
2,2004-12-01,0.27399999999999997,600.0,2453340.5
3,2007-12-01,0.27399999999999997,1684.0,2454436.5
4,1993-07-01,0.27,1270.0,2449170.5
5,1994-07-01,0.271,1574.0,2449534.5
6,1995-07-01,0.26899999999999996,1972.0,2449900.5
7,1997-07-01,0.271188,1910.0,2450630.5
8,1998-07-01,0.271188,1290.0,2450996.5
9,1999-08-01,0.271188,1040.0,2451392.5
