,phi_ssn,b_ssn
0,0.8653493184187282,-0.8621676048620294
1,0.8816621485058321,-0.8779859155633554
2,0.8969047115198522,-0.8928306232492168
3,0.9110623256634267,-0.9066568247724831
4,0.9241186674798709,-0.9194039629614158
5,0.9360324105441982,-0.9310231501055576
6,0.946746707095965,-0.9414685991299524
7,0.9561816728158659,-0.9506875603843961
8,0.9642423300222288,-0.9586278627052126
9,0.970869380558766,-0.9652073180332283
10,0.9760063842473621,-0.9703064384898645
11,0.9795374512368348,-0.9738144076752211
12,0.9813033896941835,-0.975577071597907
13,0.9811414476938137,-0.9753860315306914
14,0.9788435864663774,-0.9729883845970739
15,0.9741356067503852,-0.9681306533660701
16,0.9666995970228831,-0.9605529257872116
17,0.956158461952335,-0.9499463846380751
18,0.9420810769454876,-0.9359429830110639
19,0.924030594069407,-0.9180930817183325
