,phi_ssn,b_ssn
0,0.8832343119682267,-0.6465148383094949
1,0.9072011071407223,-0.6806384029058027
2,0.9273048075320651,-0.7133665700262344
3,0.942413758534399,-0.7435310849205639
4,0.9513246144333489,-0.7698135963418169
5,0.9528061185833526,-0.7908582303521559
6,0.9457492208638422,-0.8054167860932532
7,0.9293241506693257,-0.8123952203679494
8,0.9031644442618695,-0.8109480155695329
9,0.8675908048429933,-0.8007137732002574
10,0.823607843028464,-0.7820255364393596
11,0.7728467393804367,-0.7557957573167254
12,0.7174155888720406,-0.7233095451716359
13,0.6594938053923246,-0.6862337980895562
14,0.6009874885768953,-0.6463490903874469
15,0.5433308967002902,-0.6052845470370615
16,0.48743766709169517,-0.5642642928909182
17,0.43382134900195807,-0.524047744824179
18,0.3828119401271364,-0.48506062452014637
19,0.3345740089717918,-0.447540257698313
