,phi_0,b,mark,ssn_del,phi_c,b_c
2011-06,0.669571499700143,0.4154557519910794,-12.0,32.675839864225026,0.5963345158261417,0.3962486659682511
2011-07,0.672279482608891,0.4003935368614878,-12.0,35.373683422354205,0.6093266559412023,0.3926829800943429
2011-08,0.6757348837099032,0.3871400918023265,-12.0,38.05991613837285,0.622262881143369,0.3891326400382354
2011-09,0.677068135500842,0.3843055153787637,-12.0,40.6878450556594,0.6349183298267917,0.38565935894683606
2011-10,0.7071605371058238,0.3886444630224051,-12.0,43.24970299006772,0.6472555971744186,0.3822734025520873
2011-11,0.6750963244305017,0.3796594675265721,-12.0,45.73032496381112,0.6592016524444734,0.3789948141018301
2011-12,0.6586622283888268,0.36709404006049934,-12.0,48.113168272352105,0.6706768301075796,0.37584545775779765
2012-01,0.6685632586830211,0.38195302506309936,-12.0,50.48223930514805,0.6820856839337667,0.3727143039551719
2012-02,0.6857709522936686,0.391818977756114,-12.0,52.897688813459396,0.6937178849034171,0.369521852649027
2012-03,0.7671050145363295,0.4096423676065708,-12.0,55.33963959467048,0.7054777093780343,0.36629437514051594
2012-04,0.7285264201199378,0.35996508248988096,-12.0,57.758768032747724,0.7171276271537048,0.363097061466478
2012-05,0.7028149457376923,0.356743016262584,-12.0,60.15388109619311,0.728661892888992,0.3599314884327835
2012-06,0.7426716733529988,0.3758389828578296,-12.0,62.47615933709569,0.7398454043276186,0.35686217972734735
2012-07,0.7859619451300652,0.3900207782314117,-12.0,64.75226875655366,0.7508065782643734,0.35385389142983814
2012-08,0.8393756988875691,0.3752314359749194,-12.0,67.0437827584506,0.7618419368190085,0.35082524320381103
2012-09,0.8215563445954198,0.34042993001081745,-12.0,69.33859631608058,0.7728931852091651,0.3477922340209626
2012-10,0.8328859355772893,0.3353661883961047,-12.0,71.6346628063717,0.7839504674097845,0.34475756886207465
2012-11,0.8332975448167275,0.3319111977152626,-12.0,73.98339739430165,0.7952613860016081,0.3416532933318994
2012-12,0.8214724758927339,0.31555361416642824,-12.0,76.40205660660143,0.8069090441032408,0.338456599824187
2013-01,0.7886028210454054,0.309280445940203,-12.0,78.82262267259262,0.8185658851355379,0.3352573860660878
2013-02,0.77537470576379,0.3194707191305584,-12.0,81.18424599411219,0.8299388726461457,0.33213607575450177
2013-03,0.7880303743853914,0.3378203845674349,-12.0,83.46354515050422,0.8409154075585407,0.32912357164548156
2013-04,0.8094153166518614,0.34137504507113325,-12.0,85.66192282733748,0.8515022448557504,0.3262180198375646
2013-05,0.8641463475837102,0.36429116355314256,-12.0,87.78869864723472,0.8617442655104206,0.3234071027719228
2013-06,0.9125202300101388,0.3467324921477432,-12.0,89.85847351869688,0.8717117838476645,0.3206715227198087
2013-07,0.9138847946972608,0.3239848188331387,-12.0,91.8449757899494,0.8812782821604488,0.3180460023979397
2013-08,0.913692970733756,0.3118403659746437,-12.0,93.71241451605137,0.8902714002056744,0.3155778459824252
2013-09,0.9421641989652734,0.2875020603274183,-12.0,95.46005091599152,0.8986875801986861,0.3132680299053523
2013-10,0.9303289397589294,0.2669963539096456,-12.0,97.07182149453699,0.9064494643623164,0.3111377849671003
2013-11,0.9376657520206588,0.27064020414218304,-12.0,98.50058902810663,0.9133300516121046,0.309249411493332
2013-12,0.9486966557115049,0.2706170418549863,-12.0,99.72933160285831,0.9192473686664648,0.30762540700713426
2014-01,0.944821743890843,0.2706636124789467,-12.0,100.78850396845512,0.9243480779860878,0.3062255200749723
2014-02,0.9704744887675266,0.30811697149928763,-11.0,102.47818100135088,0.9324851401572555,0.30399230773413455
2014-03,0.9723507434587192,0.2859191241207741,-10.0,103.45355163979748,0.9371822813093547,0.3027031798687124
2014-04,0.9584703083345588,0.2890653762119987,-9.0,103.58707632406843,0.9378253028076325,0.30252670296400525
2014-05,0.9187923004959336,0.2758326431887652,-8.0,103.20678879848565,0.9359939331563072,0.3030293213808175
2014-06,0.9315052288573556,0.2941464855109786,-7.0,102.26675984625679,0.9314669887296111,0.30427173884639935
2014-07,0.9254971532098129,0.2911132942966942,-6.0,100.74244496580948,0.924126269344097,0.30628639533758895
2014-08,0.8682428303714476,0.2935125972390301,-5.0,98.9572006189817,0.9155289788808612,0.3086459170859043
2014-09,0.8505819965996151,0.3134649960224024,-4.0,97.1172864773154,0.9066684123531317,0.31107769480866176
2014-12,0.8393716498721209,0.3873430979360125,-1.0,89.69613637498402,0.8709300087478293,0.3208860804759111
2015-01,0.8522062147380446,0.3627380240058502,0.0,86.8512304697276,0.8572296531345907,0.32464613571277046
