,phi_0,b,mark,ssn_del,phi_c,b_c
2006-08,0.6364638300104019,0.38548263838525854,-12.0,40.14411221484673,0.6322998483986482,0.3863779997678814
2006-09,0.6229880006369366,0.3848041435071747,-12.0,38.615279788350406,0.6249373736407484,0.38839862700933303
2006-10,0.6130322207281688,0.3852311749778565,-12.0,37.143213697400434,0.6178482713632562,0.3903442273204198
2006-11,0.6084633067478954,0.3914298271303432,-12.0,35.77762192382678,0.6112719227796688,0.3921491026557166
2006-12,0.6061679893923715,0.3933967873550056,-12.0,34.48204961813114,0.605032770448515,0.39386143466070844
2007-01,0.5982809972109762,0.38680854750698335,-12.0,33.18308790495784,0.5987772955783007,0.39557824637777533
2007-02,0.5940440205498753,0.3890912535804731,-12.0,31.85654669794936,0.5923890047606496,0.3973315093602543
2007-03,0.5855229567243195,0.3900807525589353,-12.0,30.536100434284364,0.5860300656664049,0.39907671677801504
2007-04,0.5653082804501647,0.3913022061193066,-12.0,29.197539060550984,0.5795838887308484,0.400845866574451
2007-05,0.5577395592513626,0.3980822877294529,-12.0,27.82647631408261,0.5729811933095433,0.4026579727852033
2007-06,0.5554212748024817,0.4024594848075016,-12.0,26.47651874407309,0.56648013514177,0.4044421847063335
2007-07,0.5465473807698461,0.4037118519867263,-12.0,25.191019817302212,0.5602894936851731,0.40614120292786804
2007-08,0.5480938116888789,0.4108970808345073,-12.0,23.94205061648353,0.5542747702563305,0.40779194054120604
2007-09,0.5423514481553018,0.4122857962923173,-12.0,22.733544651326,0.5484549076546232,0.40938919870523544
2007-10,0.5345984831255849,0.4117023332034847,-12.0,21.53733839165443,0.5426942773596098,0.41097020059451816
2007-11,0.524460501205844,0.4081015835973909,-12.0,20.317281485549465,0.5368187883140348,0.41258272540617896
2007-12,0.5251120677880635,0.4097318417541601,-12.0,19.076688464034927,0.5308444024706762,0.41422239239085434
2008-01,0.5314897079020389,0.4138644534373325,-12.0,17.843478260870107,0.5249055704347853,0.4158523016521732
2008-02,0.532623556278495,0.41650454829907424,-12.0,16.65442020665952,0.5191793641102206,0.41742385590126224
2008-03,0.5406083900463216,0.4175769284934449,-12.0,15.523476264164605,0.5137330208191507,0.4189186018911789
2008-04,0.5434286989597146,0.4223337762267728,-12.0,14.426715918734525,0.5084512971856457,0.42036816810452693
2008-05,0.5426684020566523,0.4242507382162951,-12.0,13.351559926122306,0.5032736147142235,0.42178918027684265
2008-06,0.5418866334818822,0.4261093417354102,-12.0,12.308026755853215,0.49824821984950013,0.4231683971973239
2008-07,0.5377585550882147,0.4278106108237229,-12.0,11.280532121999045,0.49330006256651693,0.4245264163049963
2008-08,0.5238904542242057,0.4265319603501575,-12.0,10.283392402536132,0.4884980869625134,0.4258443159294161
2008-09,0.5144054202273424,0.4232880687618808,-12.0,9.360804672291009,0.4840551351005854,0.4270636816807264
2008-10,0.5074165420912413,0.4259791307353101,-12.0,8.54496580641967,0.4801262590822655,0.42814195959297124
2008-11,0.4932963582424316,0.4217055864736395,-12.0,7.818224928867608,0.4766264567011942,0.42910247847601424
2008-12,0.4998595694283936,0.4317886707208711,-12.0,7.141521489542475,0.47336762211326416,0.42999686387770153
2009-01,0.4902538338890203,0.4361693265128812,-12.0,6.493430839115661,0.47024657956347127,0.4308534323285576
2009-02,0.4730586359972498,0.4351402252824464,-12.0,5.8471172565269125,0.46713409492811947,0.4317076520643935
2009-03,0.455889337846133,0.4249671642672972,-12.0,5.202525832376738,0.46402990377726827,0.43255959565786434
2009-04,0.4488677105657518,0.424191765223696,-12.0,4.652668097639039,0.46138192639120523,0.43328633162871244
2009-05,0.4526341953084373,0.43717360558498336,-12.0,4.222997054859613,0.4593127380669402,0.43385421925253315
2009-06,0.4513750896614411,0.4405952390614089,-12.0,3.816832226825858,0.4573567497963366,0.4343910391824488
2009-07,0.44260080128472107,0.4372114731761008,-12.0,3.3977387310938023,0.455338500294265,0.43494494667388794
2009-08,0.4409120080420028,0.4378764842885109,-12.0,3.009134927369935,0.4534670815264818,0.4354585565491937
2009-09,0.4414961843402155,0.437168164915614,-12.0,2.679968052713108,0.45188189614985314,0.43589360982409014
2009-10,0.4462994490414403,0.44425243094999983,-12.0,2.41645285279297,0.45061287282583773,0.4362418925935206
2009-11,0.43381843877201054,0.4416862035367257,-12.0,2.289582189387588,0.4500018954285433,0.43640957501193023
2009-12,0.4316510550940578,0.4574588735767157,-12.0,2.3356362002696294,0.45022368003144847,0.43634870634682765
2010-01,0.4200654272931473,0.4064572789872083,-12.0,2.552628163530258,0.4512686590785209,0.4360619124088253
2010-02,0.4551113309093376,0.4351383921105516,-12.0,2.9504417710778146,0.453184429959068,0.43553613012000186
2010-03,0.4618529249624589,0.4417834528583334,-12.0,3.5246443368443168,0.455949645965158,0.4347772180728796
2010-10,0.5165340922330846,0.4180239009210947,-12.0,13.246448360206065,0.5027674236906624,0.42192810413128284
2010-11,0.5188041423906179,0.41494367818627614,-12.0,15.411855438526905,0.5131954828280859,0.41906612890400774
2010-12,0.5250296027126794,0.40053282962135,-12.0,17.685449009135468,0.5241445410657442,0.41606116575360585
2011-01,0.5181757333065352,0.3962302741896761,-12.0,20.04031847451766,0.5354850036936585,0.4129487818785995
2011-02,0.5327420443971631,0.39659038197261787,-12.0,22.43791743623091,0.5470312408935291,0.4097799232828823
2011-03,0.5651975274590034,0.4051717082071549,-12.0,24.887405780463,0.5588273643872647,0.40654248352807765
2011-04,0.5932050408608334,0.4072821820354992,-12.0,27.42102031647865,0.571028618589082,0.4031938558681165
2011-05,0.6052451205701287,0.401090486549344,-12.0,30.01885888284422,0.5835391596650571,0.39976034459172244
2011-06,0.6465809613765661,0.41366730857264544,-12.0,32.675839864225026,0.5963345158261417,0.3962486659682511
2011-07,0.6266147127425468,0.3893020880262025,-12.0,35.373683422354205,0.6093266559412023,0.3926829800943429
2011-08,0.6364688539102014,0.3929891081783277,-12.0,38.05991613837285,0.622262881143369,0.3891326400382354
2011-09,0.6364688539102014,0.3929891081783277,-12.0,40.6878450556594,0.6349183298267917,0.38565935894683606
2011-10,0.6376029709399358,0.3730974682702394,-12.0,43.24970299006772,0.6472555971744186,0.3822734025520873
2011-11,0.633063161914907,0.3628962244784792,-12.0,45.73032496381112,0.6592016524444734,0.3789948141018301
2011-12,0.6168804250319909,0.3533491459185828,-12.0,48.113168272352105,0.6706768301075796,0.37584545775779765
2012-01,0.6152078380548904,0.3674228123244501,-12.0,50.48223930514805,0.6820856839337667,0.3727143039551719
2012-02,0.6334641683313854,0.37721859656070494,-12.0,52.897688813459396,0.6937178849034171,0.369521852649027
2012-03,0.6375948230897018,0.3781548625632907,-12.0,55.33963959467048,0.7054777093780343,0.36629437514051594
2012-04,0.6990563781789845,0.3648957191860388,-12.0,57.758768032747724,0.7171276271537048,0.363097061466478
2012-05,0.6909111560172512,0.36664366568848383,-12.0,60.15388109619311,0.728661892888992,0.3599314884327835
2012-06,0.6909111560172512,0.36664366568848383,-12.0,62.47615933709569,0.7398454043276186,0.35686217972734735
2012-08,0.7955998163117233,0.36093556462333615,-12.0,67.0437827584506,0.7618419368190085,0.35082524320381103
2012-09,0.7739956729848942,0.3558152822058899,-12.0,69.33859631608058,0.7728931852091651,0.3477922340209626
2012-10,0.7862588649704693,0.3564706204798199,-12.0,71.6346628063717,0.7839504674097845,0.34475756886207465
2012-11,0.7905285329417329,0.3384133779128428,-12.0,73.98339739430165,0.7952613860016081,0.3416532933318994
2012-12,0.7684693089528631,0.32954420929079664,-12.0,76.40205660660143,0.8069090441032408,0.338456599824187
2013-01,0.7492904411858735,0.32193806317823137,-12.0,78.82262267259262,0.8185658851355379,0.3352573860660878
2013-02,0.7340083740981783,0.327799841352416,-12.0,81.18424599411219,0.8299388726461457,0.33213607575450177
2013-03,0.7226791653013146,0.3212376824169338,-12.0,83.46354515050422,0.8409154075585407,0.32912357164548156
