,0,1
0.0885,392.848,71.38927
0.1,447.055,83.70113
0.1075,376.909,96.8537
0.115,460.943,83.08784
0.125,515.582,84.56279
0.14,527.954,70.8326
0.155,525.929,86.99909
0.165,703.573,105.9821
0.18,638.793,80.20206999999999
0.19995,668.24,82.63346
0.215,734.753,90.59688
0.23,700.505,76.18890999999999
0.25,715.344,76.61725
0.275,747.209,74.22232
0.3,844.868,87.43283000000001
0.325,834.116,81.4991
0.35,865.63,88.9788
0.375,862.476,83.48946
0.41,885.186,83.06109000000001
0.445,869.517,84.22858000000001
0.48,867.359,81.35785
0.52,865.295,81.11182
0.56,880.951,82.22751
0.6,935.311,86.95687
0.645,850.84,78.15335999999999
0.695,862.057,79.26644
0.745,817.444,75.43068000000001
0.8,793.168,72.17203
0.86,813.548,73.97953000000001
0.925,768.09,69.29361999999999
0.99,755.318,67.74157
1.055,695.903,61.95267
1.13,684.6,60.59437
1.21,669.657,59.34814
1.295,625.655,55.31995
1.38,589.4,52.7745
1.47,536.047,47.55712
1.57,522.61,46.47245
1.67,495.879,44.28412
1.775,458.108,40.82909
1.89,434.254,38.69137
2.01,417.873,37.3022
2.135,370.35,32.908429999999996
2.265,336.011,30.015829999999998
2.405,330.202,29.297890000000002
2.55,310.278,27.7733
2.7,259.407,23.26287
2.86,255.018,22.88576
3.03,243.48,21.76906
3.21,212.216,19.149179999999998
3.395,189.513,17.16565
3.59,176.881,16.05773
3.905,153.468,13.391079999999999
4.355,125.703,11.02834
4.85,99.954,8.820116
5.395,86.81,7.698009
5.99,67.171,6.0050930000000005
6.645,52.717,4.750375
7.365,42.643,3.869701
8.155,34.232,3.1394849999999996
9.025,27.786,2.533938
9.98,21.855,2.0051259999999997
11.025,16.947,1.5786229999999999
12.17,13.843,1.3035379999999999
13.43,10.771,1.027693
14.815,8.501,0.8211316999999999
16.33,6.336,0.626332
17.99,5.081,0.5090682
19.81,3.797,0.39159590000000005
21.805,3.11,0.31761059999999997
24.0,2.255,0.23750639999999998
26.405,1.721,0.1880203
29.04,1.494,0.16408299999999998
31.93,1.161,0.13050630000000002
35.095,0.819,0.0980174
38.57,0.593,0.07419825
42.38,0.463,0.06035603
46.555,0.357,0.04860504
