,0,1
0.0885,651.009,85.80573000000001
0.1,656.286,91.58755
0.1075,736.236,123.0276
0.115,669.435,91.37496999999999
0.125,793.173,97.23083000000001
0.14,892.777,96.18776
0.155,898.833,111.2908
0.165,872.868,107.1757
0.18,911.527,95.38258
0.19995,1075.95,109.494
0.215,1112.11,115.7367
0.23,1102.37,105.0306
0.25,1112.18,104.9375
0.275,1109.18,101.0063
0.3,1194.98,111.6685
0.325,1207.12,109.0294
0.35,1213.38,113.2593
0.375,1174.24,105.8734
0.41,1209.66,106.8714
0.445,1222.42,109.7737
0.48,1212.42,107.0077
0.52,1179.59,104.179
0.56,1154.37,102.0527
0.6,1165.33,102.8855
0.645,1145.25,100.0383
0.695,1071.95,93.93141
0.745,1040.6,91.41913000000001
0.8,1010.05,87.81626999999999
0.86,978.38,85.29986
0.925,922.454,79.97615
0.99,876.285,75.87225
1.055,835.99,72.06376999999999
1.13,793.891,68.19683
1.21,737.483,63.55065
1.295,700.188,60.216519999999996
1.38,660.798,57.27548
1.47,631.626,54.26775
1.57,596.034,51.38932
1.67,522.148,45.2932
1.775,497.914,43.10814
1.89,493.497,42.64094
2.01,444.616,38.57163
2.135,387.937,33.58582
2.265,368.074,31.9241
2.405,343.389,29.69967
2.55,313.626,27.3431
2.7,282.254,24.57403
2.86,252.865,22.10138
3.03,240.751,20.96921
3.21,221.935,19.43439
3.395,198.195,17.392570000000003
3.59,181.875,15.9775
3.905,155.274,13.267679999999999
4.355,125.716,10.78705
4.85,104.036,8.96433
5.395,86.551,7.487775999999999
5.99,67.205,5.849282
6.645,53.806,4.713181
7.365,43.264,3.806964
8.155,34.826,3.090068
9.025,26.98,2.386228
9.98,22.048,1.9600119999999999
11.025,16.897,1.517363
12.17,13.954,1.259858
13.43,10.475,0.9587155
14.815,7.873,0.7323345
16.33,6.307,0.5926373
17.99,5.018,0.47601800000000005
19.81,3.638,0.35440309999999997
21.805,3.147,0.3023552
24.0,2.373,0.234379
26.405,1.743,0.1764239
29.04,1.392,0.1432494
31.93,1.238,0.1282855
35.095,0.821,0.08938014
38.57,0.598,0.06731159
42.38,0.457,0.05356762
46.555,0.378,0.04457858
